t,eyebrows_interp,pitch
0.628,-0.6581030734697344,
0.63,-0.6296667251036538,
0.632,-0.6012303767375733,
0.634,-0.578825981055207,
0.636,-0.5684854907402683,
0.638,-0.5581450004253297,
0.64,-0.5478045101103909,
0.642,-0.5374640197954522,
0.644,-0.5271235294805136,
0.646,-0.5167830391655748,
0.648,-0.5064425488506361,
0.65,-0.4961020585356974,
0.652,-0.48576156822075867,
0.654,-0.47542107790582,
0.656,-0.4650805875908813,
0.658,-0.45474009727594256,
0.66,-0.4443996069610039,
0.662,-0.43405911664606517,
0.664,-0.42371862633112645,
0.666,-0.4133781360161878,
0.668,-0.4116547209636991,
0.67,-0.41423984354243465,
0.672,-0.41682496612117026,
0.674,-0.41941008869990587,
0.676,-0.4219952112786414,
0.678,-0.42458033385737703,
0.68,-0.42716545643611264,
0.682,-0.4297505790148482,
0.684,-0.4323357015935838,
0.686,-0.4349208241723194,
0.688,-0.43750594675105486,
0.69,-0.4400910693297905,
0.692,-0.44267619190852603,
0.694,-0.44526131448726164,
0.696,-0.44784643706599725,
0.698,-0.4504315596447328,
0.7,-0.4530166822234684,
0.702,-0.45689436609157363,
0.704,-0.46077204995967885,
0.706,-0.46464973382778413,
0.708,-0.46852741769588935,
0.71,-0.47240510156399457,
0.712,-0.4762827854320998,
0.714,-0.48016046930020506,
0.716,-0.4840381531683103,
0.718,-0.4879158370364155,
0.72,-0.4917935209045207,
0.722,-0.49567120477262594,
0.724,-0.4995488886407312,
0.726,-0.5034265725088364,
0.728,-0.5073042563769417,
0.73,-0.5111819402450469,
0.732,-0.5150596241131521,
0.734,-0.5167830391656424,
0.736,-0.5141979165869032,
0.738,-0.5116127940081638,
0.74,-0.5090276714294246,
0.742,-0.5064425488506853,
0.744,-0.5038574262719461,
0.746,-0.5012723036932069,
0.748,-0.4986871811144675,
0.75,-0.4961020585357283,
0.752,-0.49351693595698903,
0.754,-0.49093181337824976,
0.756,-0.4883466907995105,
0.758,-0.4857615682207712,
0.76,-0.48317644564203194,
0.762,-0.48059132306329266,
0.764,-0.47800620048455345,
0.766,-0.47542107790581417,
0.768,-0.4607720499596547,
0.77,-0.44009106932978465,
0.772,-0.41941008869991453,
0.774,-0.39872910807004447,
0.776,-0.3780481274401744,
0.778,-0.35736714681030435,
0.78,-0.33668616618043423,
0.782,-0.3160051855505642,
0.784,-0.2953242049206941,
0.786,-0.27464322429082405,
0.788,-0.253962243660954,
0.79,-0.2332812630310839,
0.792,-0.2126002824012138,
0.794,-0.19191930177134375,
0.796,-0.1712383211414737,
0.798,-0.15055734051160363,
0.8,-0.1298763598817336,
0.802,-0.14021685019666863,
0.804,-0.1505573405116037,
0.806,-0.16089783082653872,
0.808,-0.17123832114147375,
0.81,-0.18157881145640878,
0.812,-0.1919193017713438,
0.814,-0.20225979208627828,
0.816,-0.21260028240121331,
0.818,-0.22294077271614837,
0.82,-0.2332812630310834,
0.822,-0.24362175334601843,
0.824,-0.2539622436609535,
0.826,-0.26430273397588855,
0.828,-0.27464322429082355,
0.83,-0.28498371460575855,
0.832,-0.2953242049206936,
0.834,-0.30437213394626284,
0.836,-0.3108349403931,
0.838,-0.31729774683993717,
0.84,-0.3237605532867743,
0.842,-0.33022335973361144,
0.844,-0.3366861661804486,
0.846,-0.3431489726272858,
0.848,-0.3496117790741229,
0.85,-0.35607458552096005,
0.852,-0.3625373919677972,
0.854,-0.3690001984146344,
0.856,-0.37546300486147155,
0.858,-0.38192581130830866,
0.86,-0.3883886177551458,
0.862,-0.394851424201983,
0.864,-0.40131423064882016,
0.866,-0.40777703709565727,
0.868,-0.4038993532275597,
0.87,-0.3948514242019943,
0.872,-0.3858034951764289,
0.874,-0.37675556615086353,
0.876,-0.3677076371252981,
0.878,-0.3586597080997327,
0.88,-0.3496117790741673,
0.882,-0.3405638500486019,
0.884,-0.3315159210230365,
0.886,-0.3224679919974711,
0.888,-0.3134200629719057,
0.89,-0.30437213394634033,
0.892,-0.29532420492077494,
0.894,-0.28627627589520954,
0.896,-0.27722834686964415,
0.898,-0.2681804178440787,
0.9,-0.2591324888185133,
0.902,-0.25008455979294053,
0.904,-0.2410366307673678,
0.906,-0.23198870174179506,
0.908,-0.2229407727162223,
0.91,-0.21389284369064956,
0.912,-0.20484491466507682,
0.914,-0.19579698563950404,
0.916,-0.18674905661393132,
0.918,-0.17770112758835854,
0.92,-0.16865319856278582,
0.922,-0.15960526953721305,
0.924,-0.15055734051164033,
0.926,-0.14150941148606755,
0.928,-0.1324614824604948,
0.93,-0.12341355343492205,
0.932,-0.1143656244093493,
0.934,-0.11134964806749205,
0.936,-0.1203975770930648,
0.938,-0.12944550611863703,
0.94,-0.1384934351442098,
0.942,-0.14754136416978253,
0.944,-0.1565892931953553,
0.946,-0.16563722222092805,
0.948,-0.1746851512465008,
0.95,-0.18373308027207352,
0.952,-0.1927810092976463,
0.954,-0.20182893832321905,
0.956,-0.2108768673487918,
0.958,-0.21992479637436455,
0.96,-0.2289727253999373,
0.962,-0.23802065442551004,
0.964,-0.2470685834510828,
0.966,-0.25611651247665557,
0.968,-0.2531005361347983,
0.97,-0.24405260710922555,
0.972,-0.2350046780836528,
0.974,-0.22595674905808005,
0.976,-0.2169088200325073,
0.978,-0.20786089100693456,
0.98,-0.1988129619813618,
0.982,-0.18976503295578906,
0.984,-0.1807171039302163,
0.986,-0.17166917490464356,
