eyebrow,pitch
0.4093158181321017,1.1931682605969332
0.4022066486592774,1.1138984865866906
0.3950974791864516,1.0430463547869842
0.3879883097136273,0.9798550266625535
0.3808791402408015,0.923567663678145
0.3737699707679773,0.8734274272984965
0.3666608012951514,0.8286774789883548
0.3595516318223272,0.7885609802124589
0.3524424623495014,0.7523210924355599
0.3655836544053201,0.7197286350465751
0.3888500272254655,0.6871783423612751
0.4121164000456057,0.6539655983531228
0.4353827728657511,0.621118263028716
0.4586491456858913,0.5905626609397971
0.4819155185060367,0.5598068894484844
0.505181891326177,0.5277513374071354
0.5284482641463224,0.4940164612067573
0.5517146369664625,0.4587920027042619
0.5749810097866079,0.42247386022324546
0.5982473826067481,0.3854652630170486
0.6215137554268936,0.3481074489263392
0.6447801282470338,0.3107045008583232
0.6680465010671792,0.27356625315707495
0.6913128738873193,0.23702264682643093
0.7145792467074648,0.20141341836047766
0.737845619527605,0.16704365202715546
0.7430159245987455,0.13414594741282598
0.7481862296698873,0.1028591481838273
0.753356534741028,0.0732149146171921
0.7585268398121698,0.04518663672947757
0.7636971448833104,0.018768266637530177
0.7688674499544522,-0.005967267873268407
0.7740377550255928,-0.028860908350425107
0.7792080600967346,-0.04970460936824523
0.7843783651678753,-0.06830257226491922
0.7895486702390171,-0.08454400047418374
0.7947189753101577,-0.09845524239173245
0.7998892803812995,-0.11023151803525927
0.80505958545244,-0.12027562461528293
0.8102298905235819,-0.12923232732443274
0.8154001955947225,-0.1380046831660789
0.8205705006658643,-0.14767060889608863
0.8240173707132914,-0.15929957051761057
0.8240173707132914,-0.17372564085160794
0.8240173707132914,-0.1911907279927379
0.8240173707132914,-0.2109323213349277
0.8240173707132914,-0.2310067586060267
0.8240173707132914,-0.24899919970759485
0.8240173707132914,-0.262989405939216
0.8240173707132914,-0.27202862001225253
0.8240173707132914,-0.2757755492028338
0.8240173707132914,-0.27402352980587835
0.8240173707132914,-0.2664172073339388
0.8240173707132914,-0.2533754603607354
0.8240173707132914,-0.23703664673496436
0.8240173707132914,-0.22060703550297295
0.8240173707132914,-0.20664542563018873
0.8240173707132914,-0.1965652078312161
0.8240173707132914,-0.19124172509616072
0.8089373142557926,-0.19141710206735238
0.7863172295695445,-0.19774664489693017
0.7636971448832914,-0.2107403820919205
0.7410770601970433,-0.23051326568395367
0.7184569755107902,-0.2565947478782459
0.6958368908245421,-0.28798197122753716
0.673216806138289,-0.3232489647872087
0.650596721452041,-0.36055045164900473
0.6279766367657877,-0.39812844257929514
0.6053565520795396,-0.4362854057984758
0.5827364673932866,-0.4719754617879072
0.5601163827070385,-0.5029672321490903
0.5374962980207854,-0.528298636184536
0.5148762133345373,-0.5499625498375849
0.4922561286482841,-0.5669046737429989
0.469636043962036,-0.5785364796003049
0.4470159592757829,-0.5842694391090235
0.4457233830080005,-0.5835150239686772
0.4444308067402178,-0.5756847058787896
0.4431382304724354,-0.5601899565388861
0.4418456542046527,-0.5364422476484846
0.4405530779368703,-0.503853050907116
0.4392605016690876,-0.4618338380142953
0.4047918011948568,0.1617064639826457
0.4009140723915041,0.03407983238856428
0.3970363435881505,-0.04155146762762132
0.3931586147847978,-0.08762894084803008
0.3892808859814442,-0.11930412885061896
0.3854031571780915,-0.13946198986835764
0.3815254283747379,-0.15068116023628125
0.3776476995713851,-0.15516254103459254
0.3737699707680316,-0.15550190673401737
0.3698922419646788,-0.1554914681054006
0.3660145131613253,-0.16028824805752895
0.3621367843579725,-0.1742893132527708
0.356104761774973,-0.1992065993519598
0.3489955923021524,-0.2349705712571007
0.3418864228293303,-0.2807224322843276
0.3347772533565097,-0.33320304680607027
0.3276680838836875,-0.38413685645061413
0.320558914410867,-0.42526708352231
0.3134497449380448,-0.4426130812981402
0.3063405754652242,-0.4973780751259699
0.2992314059924021,-0.5646701664750837
0.2921222365195815,-0.622640893453673
0.2850130670467594,-0.5998082304498223
0.1484308414174237,0.9214558864393937
0.1503697058191041,0.8746231420539271
0.1523085702207842,0.8346308254461404
0.1542474346224646,0.8014800747771275
0.1561862990241447,0.7744776519475964
0.1652343328986381,0.7511157416475317
0.1742823667731295,0.7310812391651028
0.1833304006476229,0.7138907322348532
0.1923784345221143,0.6990218513044121
0.2014264683966077,0.6857096421658917
